pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_age,sy_dist
Kepler-837 b,1,1,Transit,2016,Kepler,16.56059504,0.1144,2.56,7.08,3.98,901.907
Kepler-838 b,1,1,Transit,2016,Kepler,15.74957994,0.1266,2.73,7.9,4.17,1104.04
Kepler-839 b,1,1,Transit,2016,Kepler,37.8144514,0.2341,2.57,7.13,2.82,944.561
Kepler-84 b,1,5,Transit,2012,Kepler,8.726,0.0827,2.23,40,3.98,1023.9
Kepler-84 c,1,5,Transit,2012,Kepler,12.883,0.1072,2.36,20.2,3.98,1023.9
Kepler-84 d,1,5,Transit,2014,Kepler,4.224537,0.052,1.38,2.48,3.98,1023.9
Kepler-84 e,1,5,Transit,2014,Kepler,27.434389,0.181,2.6,7.27,3.98,1023.9
Kepler-84 f,1,5,Transit,2014,Kepler,44.552169,0.25,2.2,5.48,3.98,1023.9
Kepler-841 b,1,1,Transit,2016,Kepler,124.4198398,0.479,5.23,23.8,4.47,998.961
Kepler-842 b,1,1,Transit,2016,Kepler,1.21956827,0.0204,1.6,3.19,4.37,532.726
Kepler-843 b,1,1,Transit,2016,Kepler,2.05387982,0.0313,2.59,7.22,4.17,1165.66
Kepler-844 b,1,1,Transit,2016,Kepler,2.61302086,0.0298,1.68,3.46,3.8,431.776
Kepler-845 b,1,1,Transit,2016,Kepler,0.92785982,0.017,2.04,4.82,4.79,431.051
Kepler-846 b,1,1,Transit,2016,Kepler,19.80792185,0.1399,2.48,6.71,4.37,1127.12
Kepler-847 b,1,1,Transit,2016,Kepler,2.3432319,0.0315,1.18,1.76,3.89,513.103
Kepler-848 b,1,1,Transit,2016,Kepler,6.91134416,0.072,1.7,3.53,8.32,1378.47
Kepler-849 b,1,1,Transit,2016,Kepler,394.6244904,1.1088,7.14,40.4,3.98,822.134
Kepler-85 b,1,4,Transit,2012,Kepler,8.306,0.0766,1.97,4.54,4.37,765.025
Kepler-85 c,1,4,Transit,2012,Kepler,12.513,0.1007,2.18,20.9,4.37,765.025
Kepler-85 d,1,4,Transit,2014,Kepler,17.91323,0.13,1.2,1.87,0.6,765.025
Kepler-85 e,1,4,Transit,2014,Kepler,25.216751,0.163,1.27,0.6,4.37,765.025
Kepler-850 b,1,1,Transit,2016,Kepler,7.19303878,0.0744,1.78,3.82,3.89,1661.28
Kepler-851 b,1,1,Transit,2016,Kepler,8.50699658,0.0802,1.68,3.46,4.47,839.255
Kepler-852 b,1,1,Transit,2016,Kepler,44.9309804,0.2654,2.54,6.99,1.48,1619.03
Kepler-853 b,1,1,Transit,2016,Kepler,7.16892463,0.0779,1.69,3.5,2.69,568.676
Kepler-855 b,1,1,Transit,2016,Kepler,7.8866311,0.0762,8.35,52.7,4.17,1506.58
Kepler-856 b,1,1,Transit,2016,Kepler,8.02768059,0.0787,9.3,63.3,4.27,1351.17
Kepler-857 b,1,1,Transit,2016,Kepler,85.35129427,0.3751,6.8,37.2,4.27,983.502
Kepler-858 b,1,1,Transit,2016,Kepler,76.13602028,0.3403,4.87,21.1,3.39,298.532
Kepler-859 b,1,1,Transit,2016,Kepler,20.38177573,0.1345,3.09,9.75,4.57,839.903
Kepler-860 b,1,1,Transit,2016,Kepler,5.10137945,0.058,3.24,10.6,4.27,1056.36
Kepler-861 b,1,1,Transit,2016,Kepler,3.94963138,0.0463,2.28,5.82,4.47,850.327
Kepler-862 b,1,1,Transit,2016,Kepler,3.14866453,0.039,2.21,5.52,4.79,1039.03
Kepler-863 b,1,1,Transit,2016,Kepler,15.59461874,0.122,2.9,8.75,3.8,1499.66
Kepler-864 b,1,2,Transit,2016,Kepler,5.83376092,0.0687,2.4,6.35,4.68,2022.9
Kepler-864 c,1,2,Transit,2023,Kepler,2.42150341,0.0382,1.62,3.26,0.3,2022.9
Kepler-865 b,1,2,Transit,2016,Kepler,14.16399294,0.1057,2.49,6.76,4.27,586.137
Kepler-865 c,1,2,Transit,2023,Kepler,6.20920207,0.061,0.89,0.64,13.8,586.137
Kepler-866 b,1,1,Transit,2016,Kepler,2.61703254,0.0331,1.63,3.29,4.27,646.667
Kepler-867 b,1,1,Transit,2016,Kepler,150.242127,0.5375,4.64,19.4,5.89,1195.54
Kepler-868 b,1,1,Transit,2016,Kepler,5.03251791,0.0575,2.05,4.86,3.89,1593.13
Kepler-869 b,1,1,Transit,2016,Kepler,40.4287755,0.2244,3.61,12.7,4.79,939.455
Kepler-87 b,1,2,Transit,2013,Kepler,114.73635,0.481,13.49,324.2,7.5,1232.9
Kepler-87 c,1,2,Transit,2013,Kepler,191.2318,0.676,6.14,6.4,7.5,1232.9
Kepler-870 b,1,1,Transit,2016,Kepler,21.3587621,0.1539,2.78,8.15,3.8,1259.46
Kepler-871 b,1,1,Transit,2016,Kepler,22.0459018,0.1572,3.74,13.5,3.47,1976.05
Kepler-872 b,1,1,Transit,2016,Kepler,2.57885507,0.0362,1.99,4.62,4.17,879.683
Kepler-873 b,1,1,Transit,2016,Kepler,20.5533844,0.1542,3.75,13.5,2.95,1182.22
Kepler-874 b,1,1,Transit,2016,Kepler,40.0686727,0.2234,3.94,14.7,3.31,1082.16
Kepler-875 b,1,1,Transit,2016,Kepler,27.5073799,0.1771,2.9,8.75,3.39,1242.62
Kepler-876 b,1,1,Transit,2016,Kepler,5.14438011,0.0549,1.43,2.63,5.25,820.913
Kepler-877 b,1,1,Transit,2016,Kepler,18.45847097,0.1301,2.12,5.14,4.57,602.176
Kepler-878 b,1,1,Transit,2016,Kepler,25.9422033,0.165,1.93,4.38,4.57,791.625
Kepler-879 b,1,1,Transit,2016,Kepler,33.3855938,0.2012,2.57,7.13,4.27,802.672
Kepler-88 d,1,3,Radial Velocity,2020,W. M. Keck Observatory,1403,,13.1,965.147,1.6,376.863
Kepler-880 b,1,2,Transit,2016,Kepler,7.71468975,0.0915,2.66,7.56,1.66,601.324
Kepler-880 c,1,2,Transit,2023,Kepler,11.8061737,0.1216,2.87,8.6,1.41,601.324
Kepler-881 b,1,1,Transit,2016,Kepler,4.44448017,0.0552,1.78,3.82,3.8,1375.18
Kepler-882 b,1,1,Transit,2016,Kepler,3.98953967,0.0449,1.23,2.04,4.57,504.605
Kepler-883 b,1,1,Transit,2016,Kepler,12.98495573,0.1055,1.78,3.82,3.02,627.455
Kepler-884 b,1,1,Transit,2016,Kepler,5.69919514,0.0622,1.23,2.04,2.45,476.733
Kepler-885 b,1,1,Transit,2016,Kepler,18.11472949,0.1432,2.5,6.8,3.16,651.318
Kepler-886 b,1,1,Transit,2016,Kepler,6.24146367,0.067,1.52,2.92,3.39,711.297
Kepler-887 b,1,2,Transit,2016,Kepler,20.42228798,0.1536,1.84,4.04,3.09,886.588
Kepler-887 c,1,2,Transit,2016,Kepler,7.63846023,0.0797,1.13,1.51,3.09,886.588
Kepler-888 b,1,1,Transit,2016,Kepler,70.6979061,0.328,1.76,3.75,1.48,420.817
Kepler-889 b,1,1,Transit,2016,Kepler,3.744439,0.0492,1.09,1.32,3.98,598.313
Kepler-890 b,1,1,Transit,2016,Kepler,52.75875577,0.2944,8.89,58.6,3.63,1712.12
Kepler-891 b,1,1,Transit,2016,Kepler,53.44945593,0.2881,6.41,33.6,3.55,2340.58
Kepler-892 b,1,1,Transit,2016,Kepler,13.7521072,0.1015,2.81,8.3,5.01,570.727
Kepler-893 b,1,1,Transit,2016,Kepler,6.33855761,0.0699,3.03,9.43,3.8,1285.59
Kepler-894 b,1,1,Transit,2016,Kepler,9.803224,0.0916,2.78,8.15,4.27,1162.91
Kepler-895 b,1,1,Transit,2016,Kepler,2.80624233,0.0328,1.54,2.99,2.63,540.134
Kepler-896 b,1,2,Transit,2016,Kepler,144.547396,0.5164,2.53,6.94,5.01,2334.93
Kepler-896 c,1,2,Transit,2023,Kepler,29.5422566,0.1792,3.15,10.1,2.3,2334.93
Kepler-897 b,1,1,Transit,2016,Kepler,8.0472642,0.077,2.39,6.3,4.37,1519.25
Kepler-898 b,1,1,Transit,2016,Kepler,5.8706191,0.0545,1.49,2.83,3.98,484.891
Kepler-899 b,1,1,Transit,2016,Kepler,19.17891293,0.1392,2.68,7.65,4.07,1246.43
Kepler-9 b,1,3,Transit,2010,Kepler,19.23891,0.143,8.29,43.4,2,628.257
Kepler-9 c,1,3,Transit,2010,Kepler,38.9853,0.227,8.08,29.9,2,628.257
Kepler-9 d,1,3,Transit,2010,Kepler,1.592851,0.0273,1.64,3.33,1,628.257
Kepler-90 i,1,8,Transit,2017,Kepler,14.44912,,1.32,2.3,0.53,848.254
Kepler-900 b,1,1,Transit,2016,Kepler,6.9913086,0.0679,2.08,4.98,4.57,487.525
Kepler-901 b,1,1,Transit,2016,Kepler,3.51749439,0.0378,1.37,2.45,3.8,253.867
Kepler-902 b,1,1,Transit,2016,Kepler,40.1099547,0.223,2.54,6.99,4.37,1165.34
Kepler-903 b,1,2,Transit,2016,Kepler,10.3507721,0.0907,2.01,4.7,4.79,1369.24
Kepler-903 c,1,2,Transit,2016,Kepler,62.9228557,0.302,2.53,6.94,4.79,1369.24
Kepler-904 b,1,1,Transit,2016,Kepler,3.02166863,0.0417,1.77,3.78,3.02,978.125
Kepler-905 b,1,1,Transit,2016,Kepler,5.08274652,0.0572,1.41,2.57,1.66,529.268
Kepler-906 b,1,1,Transit,2016,Kepler,41.6979976,0.2359,2.11,5.1,1.86,757.791
Kepler-907 b,1,1,Transit,2016,Kepler,15.86621821,0.1225,1.2,1.87,5.37,352
Kepler-908 b,3,1,Transit,2016,Kepler,1.34059747,0.0247,1.22,1.98,3.02,290.843
Kepler-909 b,1,1,Transit,2016,Kepler,13.93290318,0.1175,1.47,2.76,2.88,309.596
Kepler-91 b,1,1,Transit,2013,Kepler,6.24658,0.0731,15.323,257.4423,4.47,1294.69
Kepler-910 b,1,1,Transit,2016,Kepler,2.36436901,0.0382,0.82,0.477,3.39,400.289
Kepler-911 b,1,1,Transit,2016,Kepler,20.310501,0.1549,2.6,7.27,3.55,556.168
Kepler-912 b,1,1,Transit,2016,Kepler,2.53475627,0.0339,2.8,8.25,3.16,2004.72
Kepler-913 b,1,2,Transit,2016,Kepler,10.29672521,0.1009,2.06,4.9,5.62,991.618
Kepler-913 c,1,2,Transit,2021,Kepler,5.93911982,0.0699,3.858,14.2,5.62,991.618
Kepler-914 b,1,1,Transit,2016,Kepler,4.40966548,0.0544,1.38,2.48,3.98,753.723
Kepler-915 b,1,1,Transit,2016,Kepler,4.59489604,0.0566,1.5,2.86,3.39,849.036
Kepler-916 b,1,1,Transit,2016,Kepler,32.2968798,0.1885,1.76,3.75,4.79,830.712
Kepler-917 b,1,1,Transit,2016,Kepler,2.97041437,0.0378,1.91,4.31,4.17,3460.51
Kepler-918 b,1,1,Transit,2016,Kepler,4.85386933,0.0569,1.74,3.68,3.24,1025.03
Kepler-919 b,1,1,Transit,2016,Kepler,11.04603384,0.0981,2.25,5.69,3.02,1119.87
Kepler-92 b,1,3,Transit,2013,Kepler,13.749,0.1174,3.51,64.3,5.2,477.992
Kepler-92 c,1,3,Transit,2013,Kepler,26.723,0.1829,2.6,6.1,5.2,477.992
Kepler-92 d,1,3,Transit,2015,Kepler,49.3568,0.2754,2.067,4.93,5.2,477.992
Kepler-920 b,1,2,Transit,2016,Kepler,6.53192704,0.065,2.42,6.44,4.37,1001.68
Kepler-920 c,1,2,Transit,2016,Kepler,100.8274113,0.4029,3.8,13.8,4.37,1001.68
Kepler-921 b,1,1,Transit,2016,Kepler,51.300634,0.2716,2.87,8.6,4.27,934.49
Kepler-922 b,1,1,Transit,2016,Kepler,0.93846683,0.0182,1.42,2.6,4.37,536.323
Kepler-923 b,1,1,Transit,2016,Kepler,6.93366476,0.0715,1.38,2.48,4.68,1000.28
Kepler-924 b,1,1,Transit,2016,Kepler,61.0370117,0.3359,3.07,9.64,3.09,1053.04
Kepler-925 b,1,1,Transit,2016,Kepler,33.8678531,0.1805,2.34,6.08,2.57,611.115
Kepler-926 b,1,1,Transit,2016,Kepler,52.0688601,0.2739,2.31,5.95,4.37,921.361
Kepler-927 b,1,1,Transit,2016,Kepler,9.1149903,0.0866,1.72,3.61,4.37,831.685
Kepler-928 b,1,1,Transit,2016,Kepler,3.9324613,0.0444,1.59,3.15,4.37,508.809
Kepler-929 b,1,1,Transit,2016,Kepler,0.92103214,0.0192,1.11,1.41,3.47,1311.23
Kepler-93 b,1,2,Transit,2014,Kepler,4.72673978,0.05343,1.478,4.66,6.6,95.9115
Kepler-93 c,1,2,Radial Velocity,2014,W. M. Keck Observatory,1460,,,954,5.05,95.9115
Kepler-930 b,1,1,Transit,2016,Kepler,71.4517775,0.3475,2.13,5.18,2.34,848.396
Kepler-931 b,1,1,Transit,2016,Kepler,8.03755877,0.0719,1.33,2.33,4.68,490
Kepler-932 b,1,1,Transit,2016,Kepler,1.9214374,0.0279,1.37,2.45,4.68,465.612
Kepler-933 b,1,1,Transit,2016,Kepler,14.20443009,0.1041,2.46,6.62,4.68,1017.2
Kepler-934 b,1,1,Transit,2016,Kepler,55.6738309,0.2658,2.09,5.02,4.47,608.738
Kepler-935 b,1,1,Transit,2016,Kepler,4.88083852,0.0527,1.35,2.39,3.8,471.782
Kepler-936 b,1,1,Transit,2016,Kepler,10.56134221,0.0954,1.45,2.7,4.57,823.399
Kepler-937 b,1,2,Transit,2016,Kepler,67.668827,0.3214,3.72,13.4,3.24,1571.46
Kepler-937 c,1,2,Transit,2016,Kepler,153.343364,0.5545,2.67,7.61,3.24,1571.46
Kepler-938 b,1,1,Transit,2016,Kepler,52.6298417,0.2689,2.22,5.56,4.27,1182.05
Kepler-939 b,1,1,Transit,2016,Kepler,14.878296,0.1153,1.75,3.71,4.47,2093.62
Kepler-94 b,1,2,Transit,2014,Kepler,2.50806,0.03106,3.51,10.84,1.41,191.904
Kepler-94 c,1,2,Radial Velocity,2014,W. M. Keck Observatory,820.3,,12.5,3126,1.41,191.904
Kepler-940 b,1,1,Transit,2016,Kepler,59.6225257,0.3059,3.34,11.1,3.63,1260.78
Kepler-941 b,1,1,Transit,2016,Kepler,17.42395198,0.1311,3.08,9.69,4.07,1088.36
Kepler-942 b,1,1,Transit,2016,Kepler,44.96417488,0.2298,2.13,5.18,4.17,216.354
Kepler-943 b,1,1,Transit,2016,Kepler,49.7701438,0.2559,5.93,29.5,4.27,2300.53
Kepler-944 b,1,1,Transit,2016,Kepler,43.3167737,0.2288,2.63,7.41,4.47,1349.43
Kepler-945 b,1,1,Transit,2016,Kepler,31.0033814,0.2037,2.63,7.41,4.47,1651.25
Kepler-946 b,1,1,Transit,2016,Kepler,11.79162572,0.1002,1.93,4.38,4.17,1137.29
Kepler-947 b,1,1,Transit,2016,Kepler,26.9644317,0.1773,2.28,5.82,4.27,1730.78
Kepler-948 b,1,1,Transit,2016,Kepler,7.76846622,0.0749,1.85,4.08,4.17,868.017
Kepler-949 b,1,2,Transit,2016,Kepler,8.6893073,0.0774,2.91,8.8,4.57,486.105
Kepler-949 c,1,2,Transit,2023,Kepler,20.99757968,0.1394,2.97,9.11,13.9,486.105
Kepler-95 b,1,1,Transit,2014,Kepler,11.5231,0.1017,3.42,13,5.63,445.656
Kepler-950 b,1,1,Transit,2016,Kepler,98.7180406,0.3982,8.98,59.6,3.8,2161.6
Kepler-951 b,2,1,Transit,2016,Kepler,71.52530845,0.3091,5.59,26.7,4.27,382.509
Kepler-952 b,1,1,Transit,2016,Kepler,130.3546919,0.5183,7.65,45.4,4.27,1304.25
Kepler-953 b,1,2,Transit,2016,Kepler,88.40655258,0.392,4.21,16.5,8.71,258.893
Kepler-953 c,1,2,Transit,2016,Kepler,9.10967112,0.0862,1.19,1.81,8.71,258.893
Kepler-954 b,1,1,Transit,2016,Kepler,16.78176602,0.118,2.32,5.99,3.39,215.814
Kepler-955 b,1,1,Transit,2016,Kepler,14.53244172,0.1083,3.13,9.96,4.37,550.383
Kepler-956 b,1,1,Transit,2016,Kepler,5.24867263,0.0596,3,9.27,3.47,544.939
Kepler-957 b,1,1,Transit,2016,Kepler,5.90741354,0.0559,5.5,25.9,2.75,824.688
Kepler-958 b,1,1,Transit,2016,Kepler,9.7678805,0.0852,2.06,4.9,4.37,449.773
Kepler-959 b,1,1,Transit,2016,Kepler,14.80074836,0.1633,4.38,17.6,1.35,807.729
Kepler-96 b,1,1,Transit,2014,Kepler,16.2385,0.1235,2.67,8.46,2.34,122.881
Kepler-960 b,1,1,Transit,2016,Kepler,3.12686223,0.0414,2.29,5.86,3.63,284.916
Kepler-961 b,1,1,Transit,2016,Kepler,16.87727414,0.1245,2.55,7.04,2.82,574.314
Kepler-962 b,1,1,Transit,2016,Kepler,12.05707239,0.0984,1.97,4.54,2.4,411.486
Kepler-963 b,1,1,Transit,2016,Kepler,9.97683705,0.0849,2.66,7.56,4.07,771.494
Kepler-964 b,1,1,Transit,2016,Kepler,13.5225106,0.1063,2.12,5.14,1.91,454.626
Kepler-965 b,1,1,Transit,2016,Kepler,134.2527298,0.512,3.38,11.4,5.5,582.828
Kepler-966 b,1,1,Transit,2016,Kepler,99.747622,0.3907,4.13,16,4.07,1027.8
Kepler-967 b,1,2,Transit,2016,Kepler,13.22713379,0.1027,2.35,6.12,5.89,568.546
Kepler-967 c,1,2,Transit,2016,Kepler,198.7112502,0.6253,3.65,12.9,5.89,568.546
Kepler-968 b,1,3,Transit,2016,Kepler,3.69298373,0.0389,2,4.66,2.14,290.324
Kepler-968 c,1,3,Transit,2016,Kepler,5.70940492,0.052,1.69,3.5,2.14,290.324
Kepler-969 b,1,2,Transit,2016,Kepler,34.1731714,0.2027,2.07,4.94,1.51,390.354
Kepler-969 c,1,2,Transit,2016,Kepler,1.6829346,0.0272,0.99,0.937,1.51,390.354
Kepler-97 b,1,2,Transit,2014,Kepler,2.58664,0.0356,1.48,3.51,8.42,400.907
Kepler-97 c,1,2,Radial Velocity,2014,W. M. Keck Observatory,789,,,344,8.42,400.907
Kepler-970 b,2,1,Transit,2016,Kepler,16.736525,0.139,2.609,7.31,0.105,331.545
Kepler-971 b,1,1,Transit,2016,Kepler,9.59070716,0.0827,2.13,5.18,4.47,338.522
Kepler-972 b,1,1,Transit,2016,Kepler,7.03932553,0.0734,4.65,19.5,2.82,1198.03
Kepler-973 b,1,1,Transit,2016,Kepler,49.6077331,0.2508,1.96,4.5,2.29,328.52
Kepler-974 b,1,1,Transit,2016,Kepler,4.19449651,0.0419,1.57,3.09,4.37,134.311
Kepler-975 b,1,2,Transit,2016,Kepler,1.97034246,0.0303,1.48,2.79,3.89,426.088
Kepler-975 c,1,2,Transit,2023,Kepler,5.05821338,0.0567,10.69,80.2,13.9,426.088
Kepler-976 b,1,1,Transit,2016,Kepler,105.9564148,0.4217,3.96,14.9,4.68,1012.41
Kepler-977 b,1,1,Transit,2016,Kepler,26.85328322,0.162,2.62,7.37,4.57,568.751
Kepler-978 b,1,1,Transit,2016,Kepler,49.6221509,0.2726,2.99,9.22,3.63,682.522
Kepler-979 b,1,1,Transit,2016,Kepler,8.0880135,0.0753,2.72,7.85,4.57,576.503
Kepler-98 b,1,1,Transit,2014,Kepler,1.54168,0.0256,1.99,3.55,2.79,350.315
Kepler-980 b,1,1,Transit,2016,Kepler,11.55102504,0.1005,2.67,7.61,3.55,961.468
Kepler-981 b,1,1,Transit,2016,Kepler,4.46975774,0.0535,2.31,5.95,4.07,878.082
Kepler-982 b,1,1,Transit,2016,Kepler,15.7738221,0.1291,2.25,5.69,3.55,801.479
Kepler-983 b,1,1,Transit,2016,Kepler,60.0855082,0.3148,2.36,6.17,1.41,714.437
Kepler-984 b,1,1,Transit,2016,Kepler,43.0342272,0.2327,2.12,5.14,3.98,460.188
Kepler-985 b,1,1,Transit,2016,Kepler,116.331901,0.4451,2.98,9.17,3.39,679.361
Kepler-986 b,1,1,Transit,2016,Kepler,56.4349938,0.276,2.36,6.17,6.17,548.364
Kepler-987 b,1,1,Transit,2016,Kepler,105.3033148,0.4238,3.26,10.7,2.45,914.126
Kepler-988 b,1,1,Transit,2016,Kepler,17.76080053,0.1085,2.07,4.94,3.16,304.889
Kepler-989 b,1,1,Transit,2016,Kepler,7.96431535,0.0734,2.21,5.52,4.68,491.978
Kepler-99 b,2,1,Transit,2014,Kepler,4.60358,0.0503,1.48,6.15,1.47,208.369
Kepler-990 b,1,2,Transit,2016,Kepler,9.91723428,0.0883,2.6,7.27,3.55,802.163
Kepler-990 c,1,2,Transit,2016,Kepler,0.53835431,0.0127,1.53,2.96,3.55,802.163
Kepler-991 b,1,1,Transit,2016,Kepler,82.5342519,0.3104,2.54,6.99,3.47,389.561
Kepler-992 b,1,1,Transit,2016,Kepler,20.16034462,0.1339,1.62,3.26,3.02,259.639
Kepler-993 b,1,1,Transit,2016,Kepler,22.08557563,0.13,2.97,9.11,3.89,324.423
Kepler-994 b,1,1,Transit,2016,Kepler,1.15116651,0.0177,1.6,3.19,3.24,188.158
Kepler-995 b,1,1,Transit,2016,Kepler,28.26731672,0.1701,2.7,7.75,5.01,609.638
Kepler-996 b,1,1,Transit,2016,Kepler,3.77059058,0.0474,1.98,4.58,3.63,1216.58
Kepler-997 b,1,1,Transit,2016,Kepler,2.70730672,0.0397,1.36,2.42,3.63,467.568
Kepler-998 b,1,1,Transit,2016,Kepler,5.65377733,0.0626,2.32,5.99,3.31,986.364
Kepler-999 b,1,1,Transit,2016,Kepler,5.99185702,0.0681,2.34,6.08,3.09,545.063
L 168-9 b,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.4015,0.02091,1.39,4.6,,25.1496
L 363-38 b,1,1,Radial Velocity,2023,Paranal Observatory,8.781,0.048,2,4.67,8.07,10.2295
L 98-59 b,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),2.2531136,0.02191,0.85,0.4,0.8,10.6194
L 98-59 c,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.6906745,0.0317,1.34,2.42,0.8,10.6194
L 98-59 d,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),7.450729,0.0506,1.58,2.31,0.8,10.6194
L 98-59 e,1,4,Radial Velocity,2021,Multiple Observatories,12.796,0.0717,1.56,3.06,0.8,10.6194
LHS 1140 b,1,2,Transit,2017,MEarth Project,24.73694,0.0957,1.635,6.38,5,14.9861
LHS 1140 c,1,2,Transit,2018,Multiple Observatories,3.77792,0.02734,1.169,1.76,5,14.9861
LHS 1478 b,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1.9495378,0.01848,1.242,2.33,,18.2276
LHS 1678 b,2,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.8602322,0.01251,0.696,0.35,7,19.8782
LHS 1678 c,2,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),3.694247,0.0331,0.982,1.4,7,19.8782
LHS 1815 b,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.814334,0.0404,1.088,1.58,,29.8424
LHS 3154 b,1,1,Radial Velocity,2023,McDonald Observatory,3.71778,0.02262,3.69,13.15,5,15.7606
LHS 3844 b,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.46292913,0.00622,1.303,2.25,,14.8846
LHS 475 b,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),2.029088,,0.991,0.941,,12.4814
LP 714-47 b,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),4.052037,0.0417,4.7,30.8,,52.616
LP 791-18 b,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.9479981,0.00978,1.212,1.94,0.5,26.4927
LP 791-18 c,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.9899093,0.02961,2.438,7.1,0.5,26.4927
LP 791-18 d,1,3,Transit,2023,Spitzer Space Telescope,2.753436,0.01992,1.032,0.9,0.5,26.4927
LP 890-9 b,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.7299025,0.01875,1.32,13.2,7.2,32.4298
LP 890-9 c,1,2,Transit,2022,SPECULOOS Southern Observatory,8.457463,0.03984,1.367,25.3,7.2,32.4298
LSPM J2116+0234 b,1,1,Radial Velocity,2019,Calar Alto Observatory,14.4399,0.0876,3.71,13.3,2,17.6297
LTT 1445 A b,3,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),5.35876,0.022,1.18,2.87,,6.86929
LTT 1445 A c,3,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),3.1239035,0.02661,1.147,1.54,,6.86929
LTT 3780 b,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.76837883,0.01211,1.32,2.47,,21.9814
LTT 3780 c,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),12.252196,0.07673,2.33,7.02,,21.9814
LTT 9779 b,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.792052,0.01679,4.72,29.32,1.9,80.4373
LkCa 15 b,1,2,Imaging,2015,Large Binocular Telescope Observatory,,14.7,,,0.001,158.152
LkCa 15 c,1,2,Imaging,2015,Large Binocular Telescope Observatory,,18.6,,,0.001,158.152
Lupus-TR-3 b,1,1,Transit,2007,Multiple Observatories,3.91405,0.0464,9.976,257.431,,773.409
MASCARA-1 b,1,1,Transit,2017,Multiple Observatories,2.14877381,0.040352,17.901,1175.971,0.8,182.273
MASCARA-4 b,2,1,Transit,2020,Multiple Observatories,2.82406,0.047,17.15,985.273,0.8,170.696
MOA-2007-BLG-192L b,1,1,Microlensing,2008,MOA,,0.62,1.63,3.3,,1000
MOA-2007-BLG-400L b,1,1,Microlensing,2008,MOA,,5.9,13.5,540.30829,,6890
MOA-2008-BLG-310L b,1,1,Microlensing,2009,MOA,,1.1,5.18,23.4,,7700
MOA-2008-BLG-379L b,1,1,Microlensing,2013,MOA,,2.7,13,1300,,3300
MOA-2009-BLG-266L b,1,1,Microlensing,2011,MOA,2800,3.2,3.21,10.4,,3040
MOA-2009-BLG-319L b,1,1,Microlensing,2010,MOA,,2.03,9.64,67.3,,7050
MOA-2009-BLG-387L b,1,1,Microlensing,2010,MOA,1980,1.8,13.2,830,,5690
MOA-2010-BLG-073L b,1,1,Microlensing,2012,MOA,,1.21,12.4,3500,,2800
MOA-2010-BLG-117L b,1,1,Microlensing,2018,MOA,,2.42,14.2,170,,3500
MOA-2010-BLG-328L b,1,1,Microlensing,2013,MOA,,0.92,2.99,9.2,,810
MOA-2010-BLG-353L b,1,1,Microlensing,2015,MOA,,1.72,11.1,86,,6430
MOA-2010-BLG-477L b,1,1,Microlensing,2012,MOA,,2,13.6,480,,2300
MOA-2011-BLG-028L b,1,1,Microlensing,2016,MOA,,4.14,5.99,30,,7380
MOA-2011-BLG-262L b,1,1,Microlensing,2014,MOA,,0.95,4.29,17,,7200
MOA-2011-BLG-291L b,1,1,Microlensing,2018,MOA,,0.69,4.43,18,,4400
MOA-2011-BLG-293L b,1,1,Microlensing,2012,MOA,3000,1.1,12.9,1500,,7720
MOA-2011-BLG-322L b,1,1,Microlensing,2013,MOA,,4.3,12.4,3690,,7560
MOA-2012-BLG-006L b,1,1,Microlensing,2017,Multiple Observatories,,10.2,12.6,2700,,5300
MOA-2012-BLG-505L b,1,1,Microlensing,2017,MOA,,0.9,2.48,6.7,,7210
MOA-2013-BLG-220L b,1,1,Microlensing,2014,MOA,,3.03,13.2,871,,6720
MOA-2013-BLG-605L b,1,1,Microlensing,2016,MOA,,0.93,1.62,3.24,,850
MOA-2015-BLG-337L b,1,1,Microlensing,2018,MOA,,0.24,6.42,33.7,,7100
MOA-2016-BLG-227L b,1,1,Microlensing,2017,MOA,,1.39,13.2,890,,6500
MOA-2016-BLG-319L b,1,1,Microlensing,2018,MOA,,0.95,14.1,200,,6800
