pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_age,sy_dist
DE CVn b,2,1,Eclipse Timing Variations,2018,Multiple Facilities,4098.1,5.75,12.4,3823.2733,,30.5225
DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,Paranal Observatory,246.36,0.36,11.9,9057.77,1,20.77
DH Tau b,1,1,Imaging,2004,Subaru Telescope,,330,30.264,3496,0.001,134.846
DMPP-1 b,1,4,Radial Velocity,2019,La Silla Observatory,18.57,0.1462,5.29,24.27,2.01,62.5388
DMPP-1 c,1,4,Radial Velocity,2019,La Silla Observatory,6.584,0.0733,3.06,9.6,2.01,62.5388
DMPP-1 d,1,4,Radial Velocity,2019,La Silla Observatory,2.882,0.0422,1.65,3.35,2.01,62.5388
DMPP-1 e,1,4,Radial Velocity,2019,La Silla Observatory,5.516,0.0651,1.86,4.13,2.01,62.5388
DMPP-2 b,1,1,Radial Velocity,2019,Multiple Facilities,5.2072,0.0664,14.3,138.89171,2,137.94
DMPP-3 A b,2,1,Radial Velocity,2019,La Silla Observatory,6.6732,0.0662,1.41,2.58,10.9,45.23
DMPP-4 b,1,1,Radial Velocity,2023,Multiple Observatories,3.4982,0.04853,3.53,12.2,2.15,25.3284
DP Leo b,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,10220,8.19,12.7,1995.88832,,305.684
DS Tuc A b,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.138268,,5.7,413.179,0.045,44.0622
EPIC 201170410.02,1,1,Transit,2020,K2,6.7987,0.0349,1.047,1.15,,134
EPIC 201238110 b,1,1,Transit,2019,K2,28.1656,,1.87,4.16,,159.259
EPIC 201427007 b,1,1,Transit,2021,K2,0.72091,,1.5,2.86,,706.391
EPIC 201497682 b,1,1,Transit,2019,K2,2.13174,,0.692,0.26,,253.026
EPIC 201595106 b,1,1,Transit,2021,K2,0.877214,,1.3,2.24,,232.1
EPIC 201615463 c,1,2,Transit,2019,K2,3.80464,,1.22,1.98,,476.882
EPIC 201754305 d,1,3,Transit,2019,K2,2.71578,,1.03,1.08,,334.967
EPIC 201757695.02,1,1,Transit,2020,K2,2.0478,0.0296,0.908,0.688,,577.6
EPIC 201833600 c,1,2,Transit,2019,K2,3.96151,,1,0.972,,257.443
EPIC 201841433 b,1,1,Transit,2019,K2,4.1698,0.035,1.04,1.12,,436.488
EPIC 205950854 c,1,2,Transit,2019,K2,8.050722,,1.31,2.27,,243.935
EPIC 206024342 b,1,3,Transit,2019,K2,4.50756,,1.7,3.53,,369.888
EPIC 206024342 c,1,3,Transit,2021,K2,0.911724,,1.4,2.54,,369.888
EPIC 206024342 d,1,3,Transit,2021,K2,14.647531,,2.6,7.27,,369.888
EPIC 206032309 b,1,1,Transit,2019,K2,2.87814,,1.01,1.01,,161.365
EPIC 206042996 b,1,2,Transit,2019,K2,5.2986,,1.7,3.53,,451.769
EPIC 206042996 c,1,2,Transit,2021,K2,0.354884,,1.2,1.87,,451.769
EPIC 206215704 b,1,1,Transit,2019,K2,2.255436,,1,0.972,,109.888
EPIC 206317286 b,1,2,Transit,2019,K2,1.58252,,0.96,0.84,,314.35
EPIC 206317286 c,1,2,Transit,2022,K2,17.515472,,2.094,5.03,,314.35
EPIC 211822797 b,1,1,Transit,2016,K2,21.1701963,0.1195,1.92,4.35,0.79,186.197
EPIC 211945201 b,1,1,Transit,2018,K2,19.49221,0.1493,5.76,27,3.99,181.69
EPIC 212297394 b,1,2,Transit,2019,K2,2.289363,,1.48,2.79,,418.395
EPIC 212297394 c,1,2,Transit,2016,K2,5.213965,,2.27,5.77,,418.395
EPIC 212424622 b,1,1,Transit,2019,K2,18.0983,,2.17,5.35,,611.804
EPIC 212499991 b,1,1,Transit,2019,K2,34.885,,1.6,3.19,,283.29
EPIC 212587672 b,1,2,Transit,2019,K2,15.28078,,1.26,2.13,,320.07
EPIC 212587672 c,1,2,Transit,2016,K2,23.228555,,2.32,5.99,,320.07
EPIC 212624936 b,1,2,Transit,2021,K2,0.578657,,1.2,1.87,,561.929
EPIC 212624936 c,1,2,Transit,2021,K2,11.811437,,2.3,5.9,,561.929
EPIC 212737443 b,1,2,Transit,2019,K2,13.603,0.098,2.586,7.2,,336.25
EPIC 212737443 c,1,2,Transit,2019,K2,65.55,0.28,2.69,7.7,,336.25
EPIC 220492298 b,1,1,Transit,2021,K2,0.762406,,0.99,0.937,,624.512
EPIC 220554210 c,1,2,Transit,2019,K2,0.70531,,1.6,3.19,,496.289
EPIC 220674823 b,1,2,Transit,2016,K2,0.571292,0.01326,1.725,8.21,7.5,244.59
EPIC 220674823 c,1,2,Transit,2016,K2,13.3397,0.1083,2.836,8.9,7.5,244.59
EPIC 228836835 b,1,1,Transit,2021,K2,0.728113,,1.1,1.37,,150.124
EPIC 229004835 b,1,1,Transit,2023,K2,16.141132,0.1237,2.332,10.4,4.9,121.971
EPIC 246851721 b,2,1,Transit,2018,K2,6.180235,0.07229,11.781,953.49,3.02,372.632
EPIC 248847494 b,1,1,Transit,2018,K2,3650,4.5,12.442,4131.79,,551.886
EPIC 249893012 b,1,3,Transit,2020,K2,3.5951,0.047,1.95,8.75,9,321.296
EPIC 249893012 c,1,3,Transit,2020,K2,15.624,0.13,3.67,14.67,9,321.296
EPIC 249893012 d,1,3,Transit,2020,K2,35.747,0.22,3.94,10.18,9,321.296
FU Tau b,1,1,Imaging,2008,Spitzer Space Telescope,,800,12.2,5085.28,0.001,133.4950466
G 264-012 b,1,2,Radial Velocity,2021,Calar Alto Observatory,2.30538,0.02279,1.39,2.5,,16.009
G 264-012 c,1,2,Radial Velocity,2021,Calar Alto Observatory,8.0518,0.0525,1.76,3.75,,16.009
G 9-40 b,1,1,Transit,2019,K2,5.746007,0.0385,2.025,11.7,9.9,27.9276
GJ 1002 b,1,2,Radial Velocity,2022,Multiple Observatories,10.3465,0.0457,1.03,1.08,,4.84867
GJ 1002 c,1,2,Radial Velocity,2022,Multiple Observatories,21.202,0.0738,1.1,1.36,,4.84867
GJ 1061 b,1,3,Radial Velocity,2020,La Silla Observatory,3.204,0.021,1.1,1.37,7,3.67278
GJ 1061 c,1,3,Radial Velocity,2020,La Silla Observatory,6.689,0.035,1.18,1.74,7,3.67278
GJ 1061 d,1,3,Radial Velocity,2020,La Silla Observatory,13.031,0.054,1.16,1.64,7,3.67278
GJ 1132 b,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,1.628931,0.0153,1.13,1.66,5,12.613
GJ 1132 c,1,2,Radial Velocity,2018,La Silla Observatory,8.929,0.0476,1.43,2.64,5,12.613
GJ 1148 b,1,2,Radial Velocity,2010,W. M. Keck Observatory,41.38,0.166,11.9,96.7,,11.0143
GJ 1148 c,1,2,Radial Velocity,2017,Calar Alto Observatory,532.58,0.912,9.71,68.06,,11.0143
GJ 1151 c,1,1,Radial Velocity,2023,Multiple Facilities,389.7,0.5714,3.25,10.62,,8.03625
GJ 1214 b,1,1,Transit,2009,MEarth Project,1.58040433,0.0149,2.742,8.17,3,14.6427
