Date Reported,Date Occurred,Time Occurred,Area Name,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Description,Address,Cross Street,Location
07/05/2019,07/05/2019,109,Devonshire,3011 3027 3034 3037 3101 3701 4026 3401,23,M,H,STREET,RESEDA                       BL,DEVONSHIRE                   ST,"(34.2573, -118.5361)"
07/06/2019,07/05/2019,1725,77th Street,3027 3601,30,F,B,STREET,VERNON                       AV,WESTERN                      AV,"(34.0037, -118.3089)"
07/09/2019,07/06/2019,210,Pacific,3027 3034 3037 3101 3401 3701 4027 3011,37,F,B,STREET,VENICE                       BL,MOUNTAIN VIEW                AV,"(33.9928, -118.4513)"
07/08/2019,07/08/2019,110,Central,3101 3401 3701 3003 3027 1218,51,F,B,STREET,6TH                          ST,GLADYS                       AV,"(34.0403, -118.2421)"
07/12/2019,07/12/2019,455,Harbor,4025 0101 3027 3103 3037 3011,56,M,W,STREET,HAMILTON                     AV,CABRILLO                     AV,"(33.7208, -118.2946)"
07/12/2019,07/12/2019,1240,Foothill,3003 3027 3034 3037 3101 3401 3701 4026 3602,67,M,W,STREET,FOOTHILL                     BL,QUILL                        AV,"(34.2597, -118.3168)"
07/13/2019,07/12/2019,2230,West LA,3009 3027 3037 3101 3401 3701 4027 3034,24,M,H,STREET,CENTINELA                    AV,VIRGINIA                     AV,"(34.0288, -118.4548)"
07/16/2019,07/16/2019,1750,Wilshire,3009 3027 3035 3036 3101 3401 3701 4027,35,M,H,STREET,CRESCENT HEIGHTS             BL,ROSEWOOD                     AV,"(34.0802, -118.3659)"
07/18/2019,07/18/2019,310,Southeast,4025 3037 3001 3027 3101 3011 3601,28,M,B,STREET,IMPERIAL                     HY,CENTRAL                      AV,"(33.9295, -118.2543)"
07/19/2019,07/19/2019,220,Wilshire,3003 3027 3029 3035 3037 3101 3401 3701 4027 1218,72,M,B,STREET,VENICE                       BL,CADILLAC                     AV,"(34.0375, -118.3742)"
07/21/2019,07/20/2019,2055,Southeast,4025 3037 3003 3027 3101 3501 3601,76,M,H,STREET,IMPERIAL                     HY,VERMONT                      AV,"(33.931, -118.2916)"
07/21/2019,07/20/2019,2230,Southwest,3036 3008 3027 3029 3101 4025 3601,24,M,H,STREET,JEFFERSON                    BL,DENKER                       AV,"(34.0255, -118.3047)"
07/22/2019,07/22/2019,215,Newton,3027 3101 3401 3701 3003 1218 3036,25,F,B,STREET,7TH                          ST,GLADYS                       ST,"(34.0385, -118.2437)"
07/22/2019,07/22/2019,1200,West Valley,3008 3027 3034 1218 3037 3101 3401 3701 4026,,X,X,STREET,BURBANK                      BL,HAYVENHURST                  AV,"(34.1669, -118.4923)"
07/25/2019,07/25/2019,205,Northeast,1402 0907 3101 3401 3701 3011 3027 3034 3036,18,M,H,STREET,FIGUEROA                     AV,PASADENA                     AV,"(34.091, -118.2113)"
07/27/2019,07/26/2019,2205,Southeast,4025 3037 3003 3027 3029 3101 3501 1402,38,F,H,STREET,117TH                        ST,MAIN                         ST,"(33.9274, -118.2739)"
07/28/2019,07/28/2019,1840,Newton,3101 3401 3701 3003 3027 1218,59,M,B,STREET,GAGE                         AV,MAIN                         ST,"(33.9824, -118.2739)"
08/02/2019,08/01/2019,2230,Wilshire,3701 3004 3027 3034 3036 3101 3401 4027,56,M,W,STREET,MELROSE                      AV,MARTEL                       AV,"(34.0836, -118.3511)"
08/03/2019,08/02/2019,2050,Southeast,1218 4025 3036 3003 3027 3029 3101 3501 3601,67,M,W,STREET,AVALON                       BL,LANZIT                       AV,"(33.9324, -118.2652)"
08/03/2019,08/03/2019,205,West LA,3003 3027 3034 3037 3101 3401 3701 4027,25,M,W,STREET,PACIFIC COAST                HY,ENTRADA                      DR,"(34.0279, -118.5188)"
08/03/2019,08/03/2019,800,Mission,3003 3027 3029 3037 3101 3401 3701 4026 1218,40,M,H,STREET,NORDHOFF                     ST,TOBIAS                       AV,"(34.2354, -118.4517)"
08/04/2019,08/04/2019,1,Devonshire,1402 3003 3027 3029 3037 3101 3401 3701 4026,40,F,H,STREET,ROSCOE                       BL,HASKELL                      AV,"(34.2214, -118.4749)"
08/09/2019,08/04/2019,2150,Southeast,4025 3037 3004 3027 3029 3101 3003,45,F,H,STREET,ALONDRA                      AV,ORCHARD                      AV,"(33.8853, -118.2882)"
08/06/2019,08/06/2019,155,Van Nuys,3003 3027 3032 3037 3101 3401 3701 4026,72,M,W,PARKING LOT,SHERMAN                      WY,SEPULVEDA                    BL,"(34.2012, -118.4662)"
08/07/2019,08/06/2019,2155,Mission,3006 3027 3034 3037 3101 3401 3701 4026 3040,45,M,H,STREET,WOODMAN                      AV,MAYALL                       ST,"(34.2538, -118.4538)"
